city,name,latitude,longitude,type
montreal,Murale Au Coin Berri Et Cherrier,45.5187180,-73.5692384,artwork
montreal,Murale Sur De Maisonneuve,45.5128430,-73.5632300,artwork
montreal,Trialogue,45.5026112,-73.6365345,artwork
montreal,Écomusée du Fier Monde,45.5203343,-73.5636566,museum
montreal,Zépher,45.5206793,-73.5642771,artwork
montreal,Halte,45.6093108,-73.8317488,viewpoint
montreal,Bateau à vent,45.4326944,-73.5881185,artwork
montreal,Les Chuchoteuses,45.5052553,-73.5540749,artwork
montreal,Allegrocube,45.5064825,-73.5556611,artwork
montreal,Les clochards célestes,45.5167615,-73.5551692,artwork
montreal,L'Électrium,45.6057468,-73.3782922,museum
montreal,Mosaiculture: L'Homme qui plantait des arbres,45.5266699,-73.5566603,artwork
montreal,La Grande Roue,45.5253724,-73.5380640,viewpoint
montreal,Le Monstre,45.5250692,-73.5336415,attraction
montreal,Le Boomerang,45.5229684,-73.5325357,attraction
montreal,Biodôme de Montréal,45.5596817,-73.5495704,zoo
montreal,Centre interprétation de l'Eau,45.6165135,-73.7865330,museum
montreal,The Emergence of the Chief,45.4580546,-73.6405718,artwork
montreal,Musée des télécommunications,45.4419236,-73.7117914,museum
montreal,Espace fractal,45.5152117,-73.5616679,artwork
montreal,Gallerie d'art Viva Vida,45.4290580,-73.8248311,gallery
montreal,Phare du Cosmos,45.5119827,-73.5358426,artwork
montreal,Mastodo,45.5117610,-73.5546687,artwork
montreal,Forces,45.5126385,-73.5539902,artwork
montreal,Agora,45.5119375,-73.5548753,artwork
montreal,École de pilotage À Vol d'Oiseau,45.7020189,-73.5709735,attraction
montreal,osmancim,45.5366581,-73.6799255,viewpoint
montreal,Olekroshome,45.5426118,-73.6268399,artwork
montreal,Community project street mural,45.4790165,-73.5625664,artwork
montreal,Roche pleureuse,45.5047577,-73.5280324,artwork
montreal,Iris,45.5054780,-73.5277615,artwork
montreal,Acier,45.5042505,-73.5265298,artwork
montreal,Totem Kwakiutl,45.5049349,-73.5292404,artwork
montreal,L'Arc,45.5058358,-73.5276137,artwork
montreal,Tête de moai,45.5070277,-73.5294513,artwork
montreal,Signe solaire,45.5131670,-73.5309227,artwork
montreal,Migration,45.5139966,-73.5346010,artwork
montreal,Obélisque oblique,45.5059503,-73.5266734,artwork
montreal,Giraffes,45.5200295,-73.5317981,artwork
montreal,Fontaine de Wallace,45.5053238,-73.5281239,artwork
montreal,Manitou,45.5234147,-73.5325436,attraction
montreal,La Grande Roue,45.5254032,-73.5379291,attraction
montreal,Goliath,45.5265593,-73.5358544,attraction
montreal,Ednör,45.5259996,-73.5363155,attraction
montreal,"Mount Royal, A Territory to Discover",45.5015608,-73.5930520,museum
montreal,Mother and Child,45.5142415,-73.6463798,artwork
montreal,Galerie 203,45.5036459,-73.5577806,gallery
montreal,Tango de Montréal,45.5242298,-73.5813966,artwork
montreal,Frederick Law Olmsted,45.5041416,-73.5890866,artwork
montreal,Vampire,45.5227179,-73.5385008,attraction
montreal,Titan,45.5236503,-73.5380709,attraction
montreal,Disco Ronde,45.5229825,-73.5373283,attraction
montreal,Vol Ultime,45.5227096,-73.5370851,attraction
montreal,Aqua Twist,45.5238198,-73.5339933,attraction
montreal,Globe Chaussures,45.5235269,-73.5342597,attraction
montreal,Bateau Pirate,45.5244176,-73.5343863,attraction
montreal,Monsieur l'Arbre,45.5225679,-73.5336576,attraction
montreal,La Danse des Bestioles,45.5226158,-73.5339242,attraction
montreal,Pommes d'Api,45.5229222,-73.5344766,attraction
montreal,Tchou-tchou,45.5230167,-73.5333857,attraction
montreal,La Grande Envolée,45.5232912,-73.5334526,attraction
montreal,Catapulte,45.5256148,-73.5374699,attraction
montreal,Agora,45.5265303,-73.5350671,attraction
montreal,Musée des maîtres et artisans du Québec,45.5116929,-73.6713332,museum
montreal,Belvédère,45.4103685,-73.5893390,viewpoint
montreal,Voiles en Voiles,45.5087017,-73.5505147,attraction
montreal,Temps d'arrêt,45.5490354,-73.5927684,artwork
montreal,parc du la cite,45.4856617,-73.4076831,viewpoint
montreal,autodromo,45.5078196,-73.5293679,attraction
montreal,Jeanne d'Arc,45.5122563,-73.5554059,artwork
montreal,Marianne,45.5122061,-73.5554468,artwork
montreal,Topographie/Topologie,45.5090809,-73.6132788,artwork
montreal,Trait d'union,45.5864931,-73.5972413,artwork
montreal,Galerie Port-Maurice,45.5868813,-73.5975900,gallery
montreal,Fontaine du Millénaire,45.4961291,-73.8491396,artwork
montreal,Give Peace a Chance,45.5049836,-73.5840457,artwork
montreal,Rainbow Pipes,45.5800355,-73.6488108,artwork
montreal,Maison d'histoire de Terrebonne,45.6924385,-73.6344006,museum
montreal,"Red, Blue and Green Sculpture",45.5774678,-73.8105184,artwork
montreal,Musée de la mode,45.5093403,-73.5512824,museum
montreal,Monica,45.4324441,-73.6835301,artwork
montreal,Site Iroquoien,45.6191514,-73.4624809,attraction
montreal,Air Papillon,45.5229937,-73.5335758,attraction
montreal,Tour de Ville,45.5262414,-73.5359333,attraction
montreal,Slingshot,45.5233625,-73.5372744,attraction
montreal,Vertigo,45.5226580,-73.5374719,attraction
montreal,Démon,45.5249799,-73.5346309,attraction
montreal,Gravitor,45.5244351,-73.5337910,attraction
montreal,Splash,45.5240864,-73.5333679,attraction
montreal,Dragon,45.5259567,-73.5376478,attraction
montreal,Phoenix,45.5247297,-73.5345780,attraction
montreal,Le Grand Costumier,45.5226300,-73.5652109,museum
montreal,Pont Jacques Cartier,45.5214445,-73.5405559,viewpoint
montreal,Caroussel,45.5256486,-73.5351492,attraction
montreal,Ancien Téléphérique,45.5224532,-73.5330345,attraction
montreal,Jardins des Floralies,45.5065172,-73.5276803,attraction
montreal,Anciens ateliers Angus,45.5440869,-73.5618043,attraction
montreal,Balade et sculpture la grande fonte,45.4994730,-73.5500053,artwork
montreal,Du chemin qui marche,45.5127402,-73.5492008,viewpoint
montreal,Le mur de Rouen - oeuvre murale,45.5394512,-73.5523334,artwork
montreal,Monument,45.4337352,-73.5863770,artwork
montreal,Salle du Royaume,45.6260833,-73.8279790,artwork
montreal,Musée Armand-Frappier,45.5408595,-73.7161839,museum
montreal,Ferme coop Valhalla,45.4010752,-73.3767939,artwork
montreal,L’esprit olympique,45.5210209,-73.6280750,artwork
montreal,Le Lecteur,45.5139641,-73.6470068,artwork
montreal,Belvédère,45.5144731,-73.8573819,viewpoint
montreal,Belvédère,45.5135049,-73.8577585,viewpoint
montreal,Dentrites,45.4984419,-73.5616085,artwork
montreal,Dentrites,45.4982197,-73.5611913,artwork
montreal,Source,45.4958507,-73.5554118,artwork
montreal,Avoine,45.5222541,-73.3582732,artwork
montreal,Musée de l'Holocauste,45.4888623,-73.6365043,museum
montreal,Farine Five Roses,45.4919666,-73.5506750,attraction
montreal,avenue henry julien,45.5203738,-73.5782916,artwork
montreal,avenue laval,45.5196307,-73.5781770,artwork
montreal,Galerie Valmi,45.5178851,-73.6174587,gallery
montreal,Tempus Folium,45.5152606,-73.3179483,artwork
montreal,Galerie D'Art Inuit Images Boréales,45.5056491,-73.5536481,museum
montreal,Belvédère de Longueuil,45.5448924,-73.5079753,viewpoint
montreal,Écomuseum de la Pointe-aux-Trembles,45.6403236,-73.4906811,museum
montreal,Belvédère,45.5048769,-73.5194093,viewpoint
montreal,Salut Gilles,45.5000820,-73.5227086,attraction
montreal,Colonnes,45.5544422,-73.5550748,artwork
montreal,Hommage à Marguerite Bourgeoys,45.5073055,-73.5552907,artwork
montreal,Site Patrimonial du Mont-Royal,45.5136598,-73.5981272,artwork
montreal,Montage Didactique,45.4946779,-73.5606566,artwork
montreal,Darling Foundry,45.4977316,-73.5567601,gallery
montreal,Jardin d'ombre,45.5620057,-73.5625882,attraction
montreal,Symposium international de sculpture,45.5000601,-73.5940166,artwork
montreal,Belvédère des hirondelles,45.6059788,-73.8297792,viewpoint
montreal,Belvédère du marais,45.6065402,-73.8313869,viewpoint
montreal,Belvédère de la chauve-souris,45.6067372,-73.8306420,viewpoint
montreal,Belvédère de la rivière,45.6050653,-73.8291968,viewpoint
montreal,Fresque d'Arrêt au Garage,45.4937334,-73.5580197,artwork
montreal,Centre de design de l'UQAM,45.5129552,-73.5620656,museum
montreal,La Pomme du savoir de Mateo,45.5364317,-73.6155945,artwork
montreal,Centre d'exploration du Parc de la Rivière-des-Mille-Îles,45.6082861,-73.7965492,museum
montreal,ISaute Rive-Sud,45.4444210,-73.4708395,attraction
montreal,Musée de l'imprimerie du Québec,45.5515850,-73.6399790,museum
montreal,Élément du mur de Berlin,45.5020901,-73.5605460,attraction
montreal,Murale noire et blanche,45.5218629,-73.5905819,attraction
montreal,Murale abstraite,45.5260857,-73.5999838,attraction
montreal,Murale,45.5136357,-73.5711747,artwork
montreal,Murale de Azelejos,45.5189636,-73.5834832,artwork
montreal,Musée du Sault-au-Récollet,45.5760203,-73.6596157,museum
montreal,Quai de l'Horloge,45.5096403,-73.5467334,attraction
montreal,Murale,45.5116016,-73.5765419,attraction
montreal,Site Patrimonial du Mont-Royal,45.5108336,-73.6052252,artwork
montreal,(Cafe de) La Pendulerie (mondaine),45.4985180,-73.5788105,attraction
montreal,La Ville Imaginaire,45.5126769,-73.5376261,artwork
montreal,Barbie Expo,45.5012232,-73.5738436,museum
montreal,Murale,45.5125466,-73.5765103,attraction
montreal,The Murals on Saint Laurent Boulevard,45.5180148,-73.5817407,artwork
montreal,Musée pour Enfants,45.5719117,-73.7840132,museum
montreal,Centre d'exposition Lethbridge,45.5044581,-73.7048768,museum
montreal,Sans titre,45.5011882,-73.6165355,artwork
montreal,Le Jardin des Hespérides,45.5010006,-73.6160241,artwork
montreal,Le Jardin des Hespérides,45.5011955,-73.6157475,artwork
montreal,Hommage à Kodaly,45.5025020,-73.6155065,artwork
montreal,Micropaysages,45.5004885,-73.6153704,artwork
montreal,Jeanne au bûcher,45.5017710,-73.6166977,artwork
montreal,Murales,45.5035188,-73.6174908,artwork
montreal,Le buisson ardent,45.5005404,-73.6161331,artwork
montreal,Le poids de l'indécision,45.4988499,-73.6173220,artwork
montreal,Sans qualification,45.4984841,-73.6174960,artwork
montreal,Murale,45.5086429,-73.5722751,attraction
montreal,Murale,45.5428617,-73.5386259,artwork
montreal,Murale,45.4535969,-73.5795739,artwork
montreal,courir,45.5045867,-73.5820558,attraction
montreal,Murale,45.5119765,-73.5678707,artwork
montreal,Le Pissenlit,45.6164621,-73.7221298,artwork
montreal,Murale,45.5135676,-73.5751539,artwork
montreal,Paquets de lumières,45.5098250,-73.5666460,artwork
montreal,La déesse,45.5166291,-73.5795901,artwork
montreal,Don't bully my breed,45.5155645,-73.5745488,artwork
montreal,The French Poodle,45.5046062,-73.5577714,artwork
montreal,The English Pug,45.5043881,-73.5572187,artwork
montreal,Murale,45.5303315,-73.6095401,artwork
montreal,Mary Pop Pop Poppins,45.5125336,-73.5692859,artwork
montreal,Le 281,45.5107660,-73.5627905,artwork
montreal,May an Old Song Open a New World,45.5085891,-73.5614618,artwork
montreal,Les touristes,45.5058175,-73.5578132,artwork
montreal,Murale,45.4991753,-73.5106230,artwork
montreal,Murale,45.5416057,-73.5691979,artwork
montreal,La maison de la poésie,45.5416433,-73.6132911,gallery
montreal,Murale,45.5734327,-73.6572492,artwork
montreal,Murale,45.5123985,-73.5555652,artwork
montreal,Murale,45.5152854,-73.5760105,artwork
montreal,Terrasse Pease,45.5421066,-73.3238411,viewpoint
montreal,Musée des Hospitalières de l'Hôtel-Dieu de Montréal,45.5132568,-73.5769839,museum
montreal,Galerie MX,45.5040334,-73.5618136,gallery
montreal,Human Structures,45.5040941,-73.5746698,artwork
montreal,Murale,45.4842992,-73.5801453,artwork
montreal,Murale,45.5310037,-73.6038234,artwork
montreal,Murale,45.5126116,-73.5743629,artwork
montreal,Murale,45.5260715,-73.5864452,artwork
montreal,Murale,45.5434604,-73.6525252,artwork
montreal,Murale,45.5410253,-73.6537751,artwork
montreal,GOPLEX e-Karting +,45.4434015,-73.4714848,attraction
montreal,Murale,45.4978880,-73.6286654,artwork
montreal,Observatoire à Balbuzards,45.7000620,-73.4890555,viewpoint
montreal,La Guilde,45.4989782,-73.5791033,gallery
montreal,Rond-point Pitfield,45.4872157,-73.7307608,viewpoint
montreal,Écluse 7,45.4404374,-73.2633375,attraction
montreal,Hermès,45.4286871,-73.6834449,artwork
montreal,Signal pour Takis,45.4287048,-73.6827645,artwork
montreal,La pierre et le feu,45.4289389,-73.6829861,artwork
montreal,Vire au Vent,45.4284677,-73.6824736,artwork
montreal,Les voûtes d’Ulysse,45.4288541,-73.6822536,artwork
montreal,Souvenir de 1955 ou 2026 Roberval,45.4290725,-73.6818080,artwork
montreal,The Passing Song,45.4289595,-73.6811809,artwork
montreal,"Amãlia Rodrigues ""Reine du Fado""",45.5190215,-73.5834333,artwork
montreal,Zilon,45.5196600,-73.5836291,artwork
montreal,Jean Lapierre,45.5564272,-73.6254954,artwork
montreal,Di-Octo II,45.4968173,-73.5788663,artwork
montreal,H Anima,45.5036147,-73.5622448,artwork
montreal,La Montagne Retracée,45.4958098,-73.6089987,artwork
montreal,Le rendez-Vous,45.4851250,-73.6241563,artwork
montreal,Native Immigrant Art Gallery,45.4789497,-73.6240537,gallery
montreal,Gallerie d'art Danielle Champoux,45.5270516,-73.3427345,gallery
montreal,Une orme pour Gaston,45.5248955,-73.3357838,artwork
montreal,Éclosion,45.5375889,-73.3570351,artwork
montreal,L'embuscade d'Hermès,45.5241272,-73.3350472,artwork
montreal,Totem '85 with Spirals and Triangles,45.5260240,-73.3402930,artwork
montreal,Colonnes,45.5544849,-73.5550794,artwork
montreal,Colonnes,45.5543574,-73.5552181,artwork
montreal,Colonnes,45.5542193,-73.5552994,artwork
montreal,Hon. John Young,45.5001204,-73.5534404,artwork
montreal,L'esprit de la forêt,45.5614056,-73.5327514,artwork
montreal,Monument à Joseph Beaubien,45.5151576,-73.6077844,artwork
montreal,Renouée,45.5161916,-73.5985506,artwork
montreal,Chaos,45.5232528,-73.5322207,attraction
montreal,Musée de Lachine,45.4299863,-73.6663574,museum
montreal,Détour : le grand jardin,45.4283695,-73.6811060,artwork
montreal,"Nature, environnement… une mission avouée",45.5183946,-73.3438595,artwork
montreal,Makenoize,45.5453424,-73.6386508,artwork
montreal,Maison Hamilton,45.6222466,-73.8023770,museum
montreal,PINK Espace,45.4930528,-73.5686029,gallery
montreal,Les Voiles,45.4918459,-73.5566107,artwork
montreal,Monument à l'Immigrant,45.5820304,-73.5824293,artwork
montreal,Murale Libre Expression,45.5777821,-73.8107289,artwork
montreal,Le Centre d'art et musée de Montréal,45.4869953,-73.5671665,gallery
montreal,Entrelacement,45.4800204,-73.5725780,artwork
montreal,Je Reviendrai à Montréal,45.5257144,-73.5593311,artwork
montreal,La Bolduc,45.5510814,-73.5403454,artwork
montreal,Lion de Belfort,45.4996787,-73.5703153,artwork
montreal,Gallery Saint-Paul,45.6039871,-73.8019971,gallery
montreal,Verticale - Centre d'artistes,45.5458570,-73.7100119,gallery
montreal,Trampolino,45.5857504,-73.5966120,artwork
montreal,Maison Saint-Gabriel,45.4759736,-73.5559770,museum
montreal,"Delos, septième porte de la perfection et le l'immortalité, convoi III",45.5344158,-73.5622403,artwork
montreal,Planétarium de Montréal,45.5605443,-73.5499416,museum
montreal,Putting Edge Centre Ville,45.4950853,-73.5775452,attraction
montreal,Pang Pang Karaoke,45.4950934,-73.5759884,attraction
montreal,WIP,45.5131326,-73.5705140,gallery
montreal,Afromusée,45.5176358,-73.5645939,museum
montreal,Beau Dommage,45.5360836,-73.6082466,artwork
montreal,Budha,45.5627867,-73.6102657,artwork
montreal,Galerie Yara,45.5504706,-73.5825281,gallery
montreal,Continium 2009,45.6042011,-73.5096635,artwork
montreal,Impact Galerie,45.5010279,-73.5562776,gallery
montreal,La grange,45.6079520,-73.4628270,viewpoint
montreal,Galerie Noël Guyomarc'h,45.5217207,-73.5902168,gallery
montreal,La Galerie Espace,45.5217669,-73.5903203,gallery
montreal,Le Centre d'Apprentissage Parallèle,45.5220531,-73.5902837,gallery
montreal,Jardins-jeune,45.5591306,-73.5653996,attraction
montreal,Tyrolienne MTL,45.5092080,-73.5501209,attraction
montreal,Big Chair,45.5129729,-73.5317350,artwork
montreal,Galerie Cosner,45.4994192,-73.5764855,gallery
montreal,Galerie Erga,45.5298971,-73.6081394,gallery
montreal,Galerie COA,45.5301248,-73.6079517,gallery
montreal,L’Anneau,45.5014131,-73.5700011,artwork
montreal,Mañana,45.5118358,-73.5639155,artwork
montreal,Studios éphémères,45.5280598,-73.5161345,gallery
montreal,Articule,45.5351075,-73.6011413,gallery
montreal,Art Engagé,45.5033620,-73.5550528,gallery
montreal,Yves Laroche,45.5025530,-73.5553002,gallery
montreal,Galerie Blanche,45.5024195,-73.5553521,gallery
montreal,Galerie Lenoire,45.5023381,-73.5553970,gallery
montreal,Bloom Galerie D'Art,45.5022517,-73.5554326,gallery
montreal,Espace Langlois,45.5023299,-73.5556248,gallery
montreal,Mael Gallery,45.5009780,-73.5563271,gallery
montreal,S16,45.5008665,-73.5567316,gallery
montreal,Studio D'art Andong,45.5066031,-73.5610225,gallery
montreal,Giant shoe,45.5625199,-73.6169435,artwork
montreal,Centre D'Art Ste-Rose,45.6138998,-73.7863495,gallery
montreal,Pépin D'Art,45.6142161,-73.7859151,gallery
montreal,Place René Lévesque,45.4200888,-73.6034878,artwork
montreal,La Maison Blanche,45.4988973,-73.4961812,gallery
montreal,Pointe est du parc-des-Rapides,45.4287560,-73.5882359,viewpoint
montreal,Pointe ouest du parc-des-Rapides,45.4231460,-73.5957263,viewpoint
montreal,Réciprocités,45.4890160,-73.5648754,artwork
montreal,Porte de l'amitié,45.5113354,-73.5331977,artwork
montreal,Rose des vents,45.5064657,-73.5334532,artwork
montreal,Dédale et Icare,45.5027376,-73.5231664,artwork
montreal,Utopie,45.5127437,-73.5318330,artwork
montreal,Le portail du souvenir,45.5093548,-73.5177743,artwork
montreal,Croix Ambulance St-Jean,45.5065737,-73.5282365,artwork
montreal,La vélocité des lieux,45.5962987,-73.6426164,artwork
montreal,Pôle culturel de Chambly,45.4449479,-73.2831455,museum
montreal,Vent d’Ouest dominant,45.4449634,-73.2839894,artwork
montreal,Galerie d'Art Pointe-Claire,45.4460986,-73.8144809,gallery
montreal,Mardenart,45.4288492,-73.8259252,gallery
montreal,Leurs effigies,45.5028041,-73.5486044,artwork
montreal,Réaction en chaîne,45.4937655,-73.5629621,artwork
montreal,Pointe du Parc St-Laurent,45.4587700,-73.4967225,viewpoint
montreal,The Falcon,45.5035782,-73.5761962,artwork
montreal,Square Forms and Circles,45.5060084,-73.5770043,artwork
montreal,Exaltation,45.5058113,-73.5769727,artwork
montreal,Polypède,45.5059637,-73.5772160,artwork
montreal,Fenêtre sur L’Avenir,45.5058669,-73.5769018,artwork
montreal,Le Chant du Dodo,45.4994324,-73.5613793,artwork
montreal,The Keys to Knowledge,45.5065559,-73.5783103,artwork
montreal,Hommage à René Lévesque,45.4287870,-73.6871790,artwork
montreal,Le Phare d'Archimède,45.4291135,-73.6882093,artwork
montreal,From A,45.4286780,-73.6860125,artwork
montreal,China Wall,45.4285155,-73.6816930,artwork
montreal,La Ville Blanche,45.4284580,-73.6803194,artwork
montreal,Site/Interlude,45.4277885,-73.6771932,artwork
montreal,Cheval à plume,45.4280029,-73.6792487,artwork
montreal,Écluses,45.4281461,-73.6782311,artwork
montreal,Explorer,45.4288272,-73.6808673,artwork
montreal,Story Rock,45.4280579,-73.6772017,artwork
montreal,Vortexit II,45.4285960,-73.6785972,artwork
montreal,Les Cariatides,45.4286391,-73.6842805,artwork
montreal,Le déjeuner sur l’herbe,45.4284458,-73.6775847,artwork
montreal,Notre souffle par-delà,45.5122435,-73.5773763,artwork
montreal,La baleine bleue du Jardin des Merveilles,45.5253008,-73.5697487,artwork
montreal,L'Homme...,45.5030724,-73.5135505,artwork
montreal,Inukshuk,45.5045822,-73.5736283,artwork
montreal,La Fermière,45.5535402,-73.5396912,artwork
montreal,Pont de Brooklyn,45.5020159,-73.5123647,artwork
montreal,L'Original,45.5237939,-73.5821581,gallery
montreal,Galerie MËL,45.5411376,-73.5511980,gallery
montreal,Galerie du Viaduc,45.5273624,-73.6025640,gallery
montreal,Pasteur,45.5138327,-73.5615405,artwork
montreal,La liberté vandalisée,45.5123744,-73.5710237,artwork
montreal,Le Malheureux Magnifique,45.5169012,-73.5678551,artwork
montreal,Beaux Arts des Amériques,45.5200095,-73.5746444,gallery
montreal,Le Livart,45.5202621,-73.5752457,gallery
montreal,Atelier Chantal Fontaine Hébert,45.5524108,-73.5721444,gallery
montreal,Les leçons singulières (volet 2),45.5232456,-73.5686811,artwork
montreal,Basilique Notre-Dame,45.5044405,-73.5560052,attraction
montreal,Musée d'Art Contemporain (MAC),45.5077958,-73.5670485,museum
montreal,Redpath Museum,45.5044738,-73.5775173,museum
montreal,Centre Canadien d'Architecture,45.4910018,-73.5786326,museum
montreal,L’Entrepôt,45.4333813,-73.6895127,museum
montreal,La Vieille Brasserie,45.4334061,-73.6887324,museum
montreal,Maison du Brasseur,45.4333686,-73.6899274,museum
montreal,La Ronde,45.5241404,-73.5351920,theme_park
montreal,Biosphère,45.5140946,-73.5314214,museum
montreal,Casino de Montréal,45.5050895,-73.5255681,attraction
montreal,Maison Bélisle (1759),45.6931283,-73.6360694,attraction
montreal,Ruelle des fortifications,45.5022496,-73.5603726,attraction
montreal,Habitat 67,45.4989574,-73.5435198,attraction
montreal,Insectarium de Montréal,45.5610089,-73.5580401,museum
montreal,Centre des sciences de Montréal,45.5046515,-73.5513012,museum
montreal,L'Arsenal,45.4852726,-73.5688526,museum
montreal,Exporail,45.3734817,-73.5635851,museum
montreal,Exporail,45.3739540,-73.5635636,museum
montreal,Kateri Hall,45.4157326,-73.6775540,museum
montreal,Centre d’interprétation des écluses,45.4310167,-73.6678838,museum
montreal,Exporail Pavillion Angus,45.3751013,-73.5641681,museum
montreal,Château Dufresne,45.5538831,-73.5539207,museum
montreal,Pointe-à-Callière: Pavillon de l'Ancienne-Douane,45.5033359,-73.5546229,museum
montreal,Pointe-à-Callière,45.5026111,-73.5542448,museum
montreal,Château Ramezay,45.5087548,-73.5531496,museum
montreal,Plantes vivaces,45.5563650,-73.5582242,attraction
montreal,Jardin aquatique,45.5601272,-73.5581567,attraction
montreal,Jardin nourriecier,45.5570792,-73.5597609,attraction
montreal,Bouche de métro Guimard,45.5017313,-73.5621006,attraction
montreal,Stade olympique,45.5578149,-73.5516429,attraction
montreal,Jardin alpin,45.5583118,-73.5599195,attraction
montreal,Jardin des arbustes,45.5582534,-73.5638484,attraction
montreal,Fort de l'île Sainte-Hélène,45.5198144,-73.5364857,museum
montreal,Musée McCord Stewart,45.5043110,-73.5734315,museum
montreal,Tour de l'Horloge,45.5122434,-73.5458256,attraction
montreal,Belvédère Kondiaronk,45.5035217,-73.5870743,viewpoint
montreal,Musée CRCMM,45.5790894,-73.5316203,museum
montreal,Ancien poste d'aiguillage du CN,45.4912663,-73.5564051,attraction
montreal,Jardin du Crépuscule,45.5280351,-73.6069726,artwork
montreal,Maison Etienne Nivard de Saint-Dizier,45.4374015,-73.5828778,museum
montreal,Lieu historique national du Commerce-de-la-Fourrure-à-Lachine,45.4314394,-73.6755358,museum
montreal,Sir George-Étienne Cartier NHS,45.5111488,-73.5517190,museum
montreal,1700 La Poste,45.4890178,-73.5678690,gallery
montreal,Cosmodôme,45.5669484,-73.7441908,museum
montreal,Galerie Nicolas Robert,45.4973827,-73.5533741,gallery
montreal,Musée ferroviaire canadien - Exporail,45.3748369,-73.5645722,museum
montreal,Édouard Montpetit (1881-1954),45.5068888,-73.6147117,artwork
montreal,Belvédère Outremont,45.5079390,-73.6076307,viewpoint
montreal,Belvédère Camillien-Houde,45.5104377,-73.5924288,viewpoint
montreal,Tour de Lévis,45.5170604,-73.5335640,viewpoint
montreal,Blockhaus,45.5174191,-73.5344455,viewpoint
montreal,Illumi par Cavalia,45.5595659,-73.7363022,attraction
montreal,Belvédère de Westmount,45.4913708,-73.6044430,viewpoint
montreal,Gare Barrington,45.3736524,-73.5627084,museum
montreal,Gare Hays,45.3740763,-73.5660719,museum
montreal,Train miniature,45.3760106,-73.5630630,museum
montreal,Maison Louis-Hippolyte-La Fontaine,45.5992301,-73.4573853,museum
montreal,Jardin des oiseaux,45.6060531,-73.8300578,theme_park
montreal,Place des centenaires,45.6043342,-73.8299803,theme_park
montreal,Jardin des papillons,45.6043395,-73.8309265,theme_park
montreal,Scène des chablis,45.6059202,-73.8310522,theme_park
montreal,Scène de la chauve-souris,45.6064413,-73.8305826,theme_park
montreal,Scène de la rivière,45.6050216,-73.8293737,theme_park
montreal,Art Mûr,45.5331626,-73.5971586,gallery
montreal,Écomuseum Saint-Constant,45.3900168,-73.5899154,museum
montreal,Société d'histoire de La Prairie-de-la-Magdeleine (SHLM),45.4195185,-73.4962605,museum
montreal,Musée d'archéologie de Roussillon,45.4206037,-73.4967088,museum
montreal,Site historique Le Pailleur,45.3622204,-73.7482557,museum
montreal,Kidzillafun,45.4362755,-73.6266006,theme_park
montreal,Chez Nous,45.4878825,-73.6395590,artwork
montreal,Tilly Dog,45.4850602,-73.6333244,artwork
montreal,Axolote,45.5536982,-73.5467327,artwork
montreal,La Grande Roue de Montréal,45.5084762,-73.5486654,attraction
montreal,Go Girls,45.5169020,-73.5708064,artwork
montreal,The foreseeable future,45.4934650,-73.5789081,artwork
montreal,Light Wall,45.4975301,-73.5667228,artwork
montreal,Le Dôme,45.5607208,-73.5581227,museum
